url,title,visit_count,last_visit_time
http://home.ustc.edu.cn/~louwenqi/reference_books_tools/Computer%20Organization%20and%20Architecture%2010th%20-%20William%20Stallings.pdf,0134102118.pdf,0,0
https://academy.hubspot.com/,HubSpot Academy - Homepage,0,0
https://angel.co/company/gocomet,GoComet | AngelList Talent,0,0
https://classroom.google.com/h,Course stream,0,0
https://codeforces.com/problemset/problem/71/A,Problem - 71A - Codeforces,0,0
https://codeforces.com/problemset?order=BY_SOLVED_DESC&tags=800-800,Problemset - Codeforces,0,0
https://codepen.io/827475938373/pen/RwLqdRv,A Pen by Jonny Bauer,0,0
https://codepen.io/AdamMorsi/pen/xxRgGmo,React 3D carousel,0,0
https://codepen.io/PrinceHatty/pen/MWvZgqz,Google Meet SlideShow,0,0
https://codepen.io/nucliweb/pen/ymedj,CSS Slideshow text,0,0
https://css-tricks.com/css-only-carousel/,CSS-Only Carousel | CSS-Tricks - CSS-Tricks,0,0
https://docs.oracle.com/en/java/javase/17/index.html,JDK 17 Documentation - Home,0,0
https://drive.google.com/drive/folders/15yIpWHqher-PzVebil2ybC8TXEe4ud4d,Automata Theory-Teaching Material - Google Drive,0,0
https://drive.google.com/drive/folders/1pbGFnZY2AC8V0VUZlVbPqxXakiarXakX,Sem 4 - Google Drive,0,0
https://mail.google.com/mail/u/0/#inbox,"Inbox (2,709) - srushti01@somaiya.edu - Somaiya Vidyavihar Mail",2,13293464213091740
https://web.s.ebscohost.com.library.somaiya.edu/ehost/results?vid=2&sid=d2d4b277-52eb-4a61-8d3a-184d1c038fc1%40redis&bquery=computer+organization+and+architecture&bdata=JmRiPW5sZWJrJmNsaTA9TkwmY2x2MD1ZJnR5cGU9MCZzZWFyY2hNb2RlPVN0YW5kYXJkJnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d,User Login | Somaiya Vidyavihar,0,0
https://web.whatsapp.com/,WhatsApp,9,13293466244354749
https://whimsical.com/getting-started-boards-EavVbQAAT4dk4nEYGh9ZjV,The Visual Workspace | Whimsical,0,0
https://www.codingninjas.com/codestudio?source=linkedin&campaign=Linkedin_KanikaCodestudio25thJan&utm_source=linkedin&utm_medium=affiliate&utm_campaign=Linkedin_KanikaCodestudio25thJan,CodeStudio - The best platform to prepare for coding interviews,0,0
https://www.coursera.org/in,"Coursera| Degrees, Certificates & Free Online Courses by IIT, IIM & more",0,0
https://www.coursera.org/learn/foundations-data/home/welcome,Coursera | Online Courses & Credentials From Top Educators. Join for Free | Coursera,2,13293464399028637
https://www.coursera.org/programs/kjsieit-on-coursera-rcflz?currentTab=CATALOG,KJSIEIT on Coursera | Coursera,0,0
https://www.figma.com/file/Maomet4glzULPvDeKTtzbH/Untitled?node-id=0%3A1,Figma,0,0
https://www.geeksforgeeks.org/saving-text-json-and-csv-to-a-file-in-python/,"Saving Text, JSON, and CSV to a File in Python - GeeksforGeeks",0,0
https://www.geeksforgeeks.org/working-csv-files-python/,Working with csv files in Python - GeeksforGeeks,0,0
https://www.geektonight.com/computer-organization-and-architecture-notes/,Computer Organization And Architecture Notes PDF 2021 B Tech,0,0
https://www.linkedin.com/learning/learning-python-2020/exercise-files?autoAdvance=true&autoSkip=false&autoplay=true&resume=false,Exercise files,0,0
https://www.linkedin.com/learning/learning-python-2020/quiz/urn:li:learningApiAssessment:38385547?autoAdvance=true&autoSkip=false&autoplay=true&resume=false,Chapter Quiz: Learning Python,0,0
https://www.netlify.com/blog/2016/07/22/deploy-react-apps-in-less-than-30-seconds/,Netlify: Develop & deploy the best web experiences in record time,0,0
https://www.udemy.com/course/react-tutorial/,Free JavaScript Tutorial - React JS Frontend Web Development for Beginners | Udemy,0,0
https://www.wix.com/buildyourwebsite5/-now?utm_source=google&utm_medium=cpc&utm_campaign=yt_ads_wix_in_acq_website_dt_en^ent-website-okw&experiment_id=youtube.com^c4^^&gclid=Cj0KCQiA_8OPBhDtARIsAKQu0gZaAZrvRmdxcjauRCUk_nDAia2A0utskHedCn8yRMOIqcSDRS9H1E8aAhEOEALw_wcB,The Leader in Website Creation | Create Your Free Website | Wix.com,0,0
https://www.youtube.com/,YouTube,1,13293464404788077
https://mail.google.com/mail/?tab=rm&ogbl,"Gmail: Free, Private & Secure Email | Google Workspace",1,13293464186959622
https://mail.google.com/mail/u/0/?tab=rm&ogbl,"Gmail: Free, Private & Secure Email | Google Workspace",1,13293464186959622
